Hotel_Name,Hotel_Address,lat,lng,Reviewer_Score
Bulgari Hotel Milano,Via Privata Fratelli Gabba 7 B Milan City Center 20121 Milan Italy,45.470133399999995,9.1897405,9.25294117647059
COMO Metropolitan London,Old Park Lane Westminster Borough London W1K 1LB United Kingdom,51.5050355,-0.1500864,8.9027972027972
COMO The Halkin,Halkin Street Westminster Borough London SW1X 7DJ United Kingdom,51.4988977,-0.15620150000000002,9.268965517241378
COQ Hotel Paris,15 rue Edouard Manet 13th arr 75013 Paris France,48.832876399999996,2.3572531000000003,9.140697674418593
Ca Bianca Hotel Corte Del Naviglio,Via Lodovico Il Moro 117 Navigli 20143 Milan Italy,45.443502,9.1377081,7.390123456790125
Caesar Hotel,26 33 Queens Gardens Westminster Borough London W2 3BE United Kingdom,51.51346029999999,-0.1833081,8.26372239747634
Camperio House Suites Apartments,Via Camperio 9 Milan City Center 20123 Milan Italy,45.466598,9.183064,9.08278145695364
Canal House,Keizersgracht 148 Amsterdam City Center 1015 CX Amsterdam Netherlands,52.376309899999995,4.886270099999999,9.373369565217383
Canary Riverside Plaza Hotel,46 Westferry Circus Tower Hamlets London E14 8RS United Kingdom,51.506699100000006,-0.0280208,8.93550724637681
Capri by Fraser Barcelona,Sancho de vila 32 34 Sant Mart 08018 Barcelona Spain,41.39762329999999,2.188975,8.752123552123551
Carlyle Brera Hotel,Corso Garibaldi 84 Milan City Center 20121 Milan Italy,45.47699229999999,9.1844899,8.245922746781108
Castille Paris Starhotels Collezione,33 Rue Cambon 1st arr 75001 Paris France,48.86829779999999,2.3268027,8.63067484662577
Catalonia Atenas,Avenida Meridiana 151 Sant Mart 08026 Barcelona Spain,41.4110056,2.1866008999999997,8.068991517436407
Catalonia Barcelona 505,Muntaner 505 Sarri St Gervasi 08022 Barcelona Spain,41.4034965,2.1370426,8.189999999999998
Catalonia Barcelona Plaza,Plaza Espa a 6 8 Sants Montju c 08014 Barcelona Spain,41.375029299999994,2.1491172,8.308154506437784
Catalonia Born,Rec Comtal 16 18 Ciutat Vella 08003 Barcelona Spain,41.389691600000006,2.1798661,8.81116173120729
Catalonia Catedral,Arcs 10 Ciutat Vella 08002 Barcelona Spain,41.384663700000004,2.1740902,9.245901639344263
Catalonia Diagonal Centro,Balmes 142 146 Eixample 08008 Barcelona Spain,41.393863200000006,2.1568039,8.003658536585364
Catalonia Eixample 1864,Roger de Ll ria 60 Eixample 08009 Barcelona Spain,41.393599,2.1684151000000003,8.308177570093457
Catalonia La Pedrera,C rcega 368 Eixample 08037 Barcelona Spain,41.3986093,2.1625037,8.513548387096769
Catalonia Magdalenes,Magdalenes 13 15 Ciutat Vella 08002 Barcelona Spain,41.3861283,2.1745291,9.561414790996768
Catalonia Park Putxet,Putget 68 Sarri St Gervasi 08023 Barcelona Spain,41.4072812,2.1443116,7.412217194570134
